Timestamp,Type,Entry,TP,SL,RSI,ATR,Result
2026-09-22 23:30:00,SELL,111.7699966430664,111.69596236092704,111.8292240687779,40.86592970521542,0.0493561880929129,LOSE
2026-09-22 23:50:00,SELL,111.75499725341795,111.67614092145648,111.81808231898717,35.43972166331321,0.0525708879743303,LOSE
2026-09-23 04:40:00,BUY,112.0260009765625,112.065644127982,111.9942864554269,60.33586224533288,0.0264287676130022,LOSE
2026-09-23 14:20:00,BUY,111.97100067138672,112.07100067138671,111.89100067138672,54.54545454545455,0.0370009286063058,LOSE
2026-09-23 22:50:00,SELL,111.3759994506836,111.21728482927595,111.50585686819892,34.3744411992609,0.0721430097307477,LOSE
2026-09-24 00:50:00,SELL,111.3730010986328,111.25404575892856,111.47032819475446,38.63608214223787,0.0540706089564732,Pending
2026-09-24 02:25:00,SELL,111.31900024414062,111.21900024414064,111.39900024414062,35.60100667119403,0.0386417933872767,LOSE
2026-09-24 02:35:00,SELL,111.29000091552734,111.19000091552736,111.37000091552734,33.49153037383178,0.0397131783621651,LOSE
2026-09-25 04:45:00,BUY,111.44200134277344,111.54200134277345,111.36200134277344,60.7995117485505,0.0255007062639508,LOSE
2026-09-25 11:00:00,SELL,111.1969985961914,111.0969985961914,111.2769985961914,44.47994847786777,0.0435703822544642,WIN
2026-09-25 21:55:00,SELL,110.6500015258789,110.50936039515904,110.76507154192244,34.39405430001517,0.0639277866908482,WIN
2026-09-26 02:45:00,SELL,110.49199676513672,110.39199676513672,110.57199676513672,35.92540265611754,0.0382134573800223,Pending
2026-09-26 03:30:00,SELL,110.48799896240234,110.38799896240236,110.56799896240234,34.100977427747694,0.0329993111746651,Pending
2026-09-26 03:55:00,SELL,110.4459991455078,110.34599914550782,110.5259991455078,39.5456910005202,0.0314995901925223,LOSE
